"Country.or.Area","Subgroup","Source","1999","2000","2001","2002","2003","2004","2005"
"Nicaragua","Female","UNESCO_UIS Database_Sep2007",172765,178014,189195,204113,217161,219300,230572
"Nicaragua","Male","UNESCO_UIS Database_Sep2007",148728,155196,164529,178838,195182,197105,207281
"Niger","Female","UNESCO_UIS Database_Sep2007",39842,41087,41997,43088,49089,61006,70986
"Niger","Male","UNESCO_UIS Database_Sep2007",65091,65095,66036,68945,77048,97337,110655
"Nigeria","Female","UNESCO_UIS Database_Sep2007",1797976,1797976,1797976,2760948,2760948,2760948,2854156
"Nigeria","Male","UNESCO_UIS Database_Sep2007",2046609,2046609,2046609,3555354,3555354,3555354,3543425
"Niue","Female","UNESCO_UIS Database_Sep2007",145,135,120,120,106,106,99
"Niue","Male","UNESCO_UIS Database_Sep2007",123,125,122,122,103,103,107
"Norway","Female","UNESCO_UIS Database_Sep2007",186418,183491,182365,183854,189711,197928,197238
"Norway","Male","UNESCO_UIS Database_Sep2007",191222,188168,187578,189161,195298,202231,205788
"Oman","Female","UNESCO_UIS Database_Sep2007",112554,119076,124493,129786,134336,137194,139592
"Oman","Male","UNESCO_UIS Database_Sep2007",116477,123457,130003,137137,144966,149219,153191
"Pakistan","Female","UNESCO_UIS Database_Sep2007",2583390,2583390,2583390,2581024,2662680,2969180,2977448
"Pakistan","Male","UNESCO_UIS Database_Sep2007",3965467,3965467,3965467,3815354,3822613,4302819,4267463
"Palau","Female","UNESCO_UIS Database_Sep2007",1060,911,915,1287,1287,1145,1134
"Palau","Male","UNESCO_UIS Database_Sep2007",1117,990,983,1178,1178,1128,1135
"Palestinian Territory, Occupied","Female","UNESCO_UIS Database_Sep2007",220235,239245,258023,274026,292426,314567,345177
